Name,Review,UpVotes,Rating,Date,Opinion Unit,Unsupervised labels
Shuttitt Uppitt,works fine smart put the Delete option the BOTTOM the list other users Use FILE MANAGERS delete videos images music others Now hope see better performance for non SUPER hardware Example One phones has RAM but only resolution,417.0,4.4,"February 2, 2020","[['3'], ['2'], ['7', 'it', 'works', 'fine'], ['it', 'smart', 'put', 'delete', 'option', 'bottom', 'list'], ['at', 'users'], ['use', 'file', 'managers', 'delete', 'videos', 'images', 'music', 'others'], ['now', 'i', 'hope', 'see', 'better', 'performance', 'non', 'super', 'hardware'], ['example', 'one', 'phones', '2', 'gb', 'ram', '480x854', 'resolution'], ['i']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Feature Request', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Nate,Seek track impossible use Whether hold the fast forward rewind button tap the progress bar drag the dot the progress bar input seek time manually nothing works The behavior erratic This app impossible use for listening audiobooks hours one sitting with,627.0,5.0,"February 4, 2020","[['seek', 'track', 'impossible', 'use'], ['whether', 'i', 'hold', 'fast', 'forward', 'rewind', 'button', 'tap', 'progress', 'bar', 'drag', 'dot', 'progress', 'bar', 'input', 'seek', 'time', 'manually', 'nothing', 'works'], ['the', 'behavior', 'erratic'], ['this', 'app', 'impossible', 'use', 'listening', 'audiobooks'], ['8', 'hours', 'one', 'sitting', 'br']]","['Bug', 'Performance', 'Bug', 'Bug', 'Performance']"
Sir Willard,been using the VLC Windows application for years better than any others tried This was the reason for choosing this app However the most recent update shrank the tool bar less than full screen width and removed the ability refresh the play list after deleting played file,97.0,2.0,"February 4, 2020","[['i', 'using', 'vlc', 'windows', 'application', 'years', 'better', 'others', 'i', 'tried'], ['this', 'reason', 'choosing', 'app'], ['however', 'recent', 'update', 'shrank', 'tool', 'bar', 'less', 'full', 'screen', 'width', 'removed', 'ability', 'refresh', 'play', 'list', 'deleting', 'played', 'file'], []]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA']"
Chris L,The updates just make worse used like sorting date easily find latest added files Now you can only sort name just don understand how got less features after update Lots other small issues with the later versions also actively looking for new app this,210.0,2.0,"February 10, 2020","[['the', 'updates', 'make', 'worse'], ['i', 'used', 'like', 'sorting', 'date', 'easily', 'find', 'latest', 'added', 'files'], ['now', 'sort', 'name'], ['i', 'understand', 'got', 'less', 'features', 'update'], ['lots', 'small', 'issues', 'later', 'versions', 'also'], ['i', 'actively', 'looking', 'new', 'app']]","['Bug', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Bug', 'Redundant/NA']"
Peter Blaikie,love VLC Used like Android phone but doesn work the hate give bad reviews but this app just doesn work even after latest updates Movies pauses every seconds doesn restart Time look for new video glare for android would prefer use VLC,22.0,1.0,"February 14, 2020","[['i', 'love', 'vlc', 'pc'], ['used', 'like', 'android', 'phone', 'work'], ['i', 'hate', 'give', 'bad', 'reviews', 'app', 'work', 'even', 'latest', 'updates'], ['movies', 'pauses', 'every', '2', 'seconds', 'restart'], ['time', 'look', 'new', 'video', 'glare', 'android'], ['i', 'would', 'prefer', 'use', 'vlc']]","['neutral', 'neutral', 'Bug', 'Bug', 'Redundant/NA', 'Redundant/NA']"
Jermaine Rogers,Glad have the delete option back Seems now the app has problem keeping the filenames straight Simply refreshing doesn help When delete file the name apparently assigned remaining file can only tell what the real filename looking the information,4.0,1.0,"February 17, 2020","[['glad', 'delete', 'option', 'back'], ['seems', 'app', 'problem', 'keeping', 'filenames', 'straight'], ['simply', 'refreshing', 'help'], ['when', 'i', 'delete', 'file', 'name', 'apparently', 'assigned', 'remaining', 'file'], ['i', 'tell', 'real', 'filename', 'looking', 'information'], []]","['Feature Request', 'Redundant/NA', 'Support', 'Feature Request', 'Redundant/NA', 'Redundant/NA']"
Q B,had zero problems with VLC does everything plays everything streams You can play movies audio only can turn off the screen and fall sleep listening movie Pop player adjustable don get why anyone would rate this less than maybe stars TBH,18.0,2.0,"February 14, 2020","[['i', 'zero', 'problems', 'vlc'], ['it', 'everything', 'plays', 'everything'], ['it', 'streams'], ['you', 'play', 'movies', 'audio', 'u', 'turn', 'screen', 'fall', 'sleep', 'listening', 'movie'], ['pop', 'player', 'adjustable'], ['i', 'get', 'anyone', 'would', 'rate', 'less', 'maybe', '4', 'stars', 'tbh'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Shaun Samuel,when comes party media player but had few issues Mostly with background playback other apps and screen locked where would continue play for few seconds and then silent opening with media queued EDIT THE EDIT Also doesn seem happen over Blu,165.0,5.0,"February 6, 2020","[['my', 'go', 'comes', '3rd', 'party', 'media', 'player', 'i', 'issues'], ['mostly', 'background', 'playback', 'apps', 'screen', 'locked', 'would', 'continue', 'play', 'seconds', 'go', 'silent', 'opening', 'media', 'queued'], ['edit', 'of', 'the', 'edit', 'also', 'seem', 'happen', 'blu']]","['Bug', 'Redundant/NA', 'Redundant/NA']"
Hamish McIntyre-Bhatty,Good media player for local storage but frequently fails browse network and load directories play music especially connection bit slow Once fails usually needs closed and opened again Would happy provide diagnostic information help out fix this otherwis,169.0,3.0,"February 2, 2020","[['good', 'media', 'player', 'local', 'storage', 'frequently', 'fails', 'browse', 'network', 'load', 'directories', 'play', 'music', 'especially', 'connection', 'bit', 'slow'], ['once', 'fails', 'usually', 'needs', 'closed', 'opened'], ['would', 'happy', 'provide', 'diagnostic', 'information', 'help', 'fix', 'otherwis']]","['neutral', 'Redundant/NA', 'Support']"
Leonardo Hortmann,Great app when you think playing many different media files But impossible bear your mobile when you think how much memory occupies and how many dozens times day will repeat its media parsing again and again for countless minutes Improve for God sake Solve that,48.0,3.0,"February 12, 2020","[['great', 'app', 'think', 'playing', 'many', 'different', 'media', 'files'], ['but', 'impossible', 'bear', 'mobile', 'think', 'much', 'memory', 'occupies', 'many', 'dozens', 'times', 'day', 'repeat', 'media', 'parsing', 'countless', 'minutes'], [], [], ['improve', 'god', 'sake'], ['solve', 'pl']]","['Redundant/NA', 'Bug', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
