,Name,Review,Label,UpVotes,Rating,Date,Keywords
0,Shuttitt Uppitt,"(3.2.7) It works fine. It's smart to put the Delete option at the BOTTOM of the list. (At other users. Use FILE MANAGERS to delete videos images music others.) Now I hope to see better performance for non SUPER hardware. Example = One of my phones has 2 GB of RAM, but only 480x854 resolution. I","Feature Request,User Interface,Compatibility Issue",417.0,4.4,"February 2, 2020","['works fine', 'smart', 'put', 'delete option', 'bottom', 'list', 'users', 'file managers', 'delete videos images music', 'hope', 'performance', 'super hardware', '=', 'phones', '2 gb', 'ram', '480x854 resolution']"
1,Nate,"Seek track is impossible to use. Whether I hold the fast forward or rewind button, tap the progress bar, drag the dot on the progress bar, or input seek time manually, nothing works. The behavior is erratic. This app is impossible to use for listening to audiobooks. 8 hours in one sitting with no br",Functional Complaint,627.0,5.0,"February 4, 2020","['seek track', 'impossible', 'hold', 'fast forward', 'rewind button', 'tap', 'progress bar', 'drag', 'dot', 'progress bar', 'input seek time manually', 'works', 'behavior', 'erratic', 'app', 'impossible', 'listening', 'audiobooks', '8 hours', 'sitting', 'br']"
2,Sir Willard,"I've been using the VLC Windows application for years & it's better than any others I've tried. This was the reason for choosing this app. However, the most recent update shrank the tool bar to less than full screen width and removed the ability to refresh the play list after deleting a played file.","Update Issue,User Interface",97.0,2.0,"February 4, 2020","['ve', 'vlc windows application', 'years &', 've', 'reason', 'choosing', 'app', 'recent update shrank', 'tool bar', 'full screen width', 'removed', 'ability', 'refresh', 'play list', 'deleting', 'played file']"
3,Chris L,The updates just make it worse. I used to like sorting by date to easily find my latest added files. Now you can only sort by name. I just don't understand how it got less features after an update. Lots of other small issues with the later versions also. I'm actively looking for a new app as this on,"User Interface,Update Issue,Feature Request",210.0,2.0,"February 10, 2020","['updates', 'make', 'worse', 'sorting', 'date', 'easily find', 'latest added files', 'sort', 'don', 'understand', 'features', 'update', 'lots', 'small issues', 'versions', 'actively', 'app']"
4,Peter Blaikie,"I love VLC on my PC. Used to like it on my Android phone but it doesn't work on the S10+. I hate to give bad reviews but this app just doesn't work even after latest updates. Movies pauses every 2 seconds & doesn't restart. Time to look for a new video glare for android. I would prefer to use VLC, o","Compatibility Issue,Functional Complaint",22.0,1.0,"February 14, 2020","['love vlc', 'pc', 'android phone', 'doesn', 'work', 's10+', 'hate', 'give bad reviews', 'app', 'doesn', 'work', 'latest updates', 'movies pauses', '2 seconds & doesn', 'restart', 'time', 'video glare', 'android', 'prefer', 'vlc']"
5,Jermaine Rogers,"Glad to have the delete option back. Seems now the app has a problem keeping the filenames straight. Simply refreshing doesn't help. When I delete a file, the name is apparently assigned to a remaining file. I can only tell what the real filename is by looking at the information.",Functional Complaint,4.0,1.0,"February 17, 2020","['glad', 'delete option back', 'app', 'problem keeping', 'filenames straight', 'simply refreshing doesn', 'delete', 'file', 'apparently assigned', 'remaining file', 'real filename', 'information']"
6,Q B,"I've had zero problems with VLC. It does everything, plays everything. It streams. You can play movies as audio only so u can turn off the screen and fall to sleep listening to a movie. Pop up player is adjustable. I don't get why anyone would rate this less than maybe 4 stars, TBH.",Uninteresting Comment,18.0,2.0,"February 14, 2020","['ve', 'problems', 'vlc', 'plays', 'streams', 'play movies', 'audio', 'turn', 'screen', 'fall', 'sleep listening', 'movie', 'pop', 'player', 'adjustable', 'don', 'rate', '4 stars', 'tbh']"
7,Shaun Samuel,"My go to when it comes to a 3rd party media player, but I've had a few issues. Mostly with background playback, in other apps and screen locked, where it would continue to play for a few seconds, and then go silent, opening with no media queued. EDIT OF THE EDIT: Also doesn't seem to happen over Blu",Functional Complaint,165.0,5.0,"February 6, 2020","['3rd party media player', 've', 'issues', 'background playback', 'apps', 'screen locked', 'continue', 'play', 'seconds', 'silent', 'opening', 'media queued', 'edit', 'edit', 'doesn', 'happen', 'blu']"
8,Hamish McIntyre-Bhatty,"Good media player for local storage, but frequently fails to browse network and load directories or play music, especially if connection is a bit slow. Once it fails, it usually needs be be closed and opened again. Would be happy to provide diagnostic information or help out to fix this, as otherwis",Network Problem,169.0,3.0,"February 2, 2020","['good media player', 'local storage', 'frequently fails', 'browse network', 'load directories', 'play music', 'connection', 'bit slow', 'fails', 'closed', 'opened', 'happy', 'provide diagnostic information', 'fix', 'otherwis']"
9,Leonardo Hortmann,"Great app when you think of playing many different media files. But impossible to bear on your mobile when you think of how much memory it occupies, and how many dozens of times a day it will repeat its media parsing again and again for countless minutes... Improve it, for God's sake. Solve that, pl",Resource Heavy,48.0,3.0,"February 12, 2020","['great app', 'playing', 'media files', 'impossible', 'bear', 'mobile', 'memory', 'occupies', 'dozens', 'times', 'day', 'repeat', 'media parsing', 'countless minutes', 'improve', 'god', 'sake', 'solve', 'pl']"
